replicateid,dayselapsed,beta,eir,pfprunder5,pfpr2to10,pfprall
2457,6756,0.03,2.55131,9.19776,7.19525,5.37636
2457,6787,0.03,2.55131,8.73192,6.76831,5.3755
2457,6818,0.03,2.55131,10.3693,8.2691,6.75461
2457,6848,0.03,2.55131,13.454,11.3451,9.44085
2457,6879,0.03,2.55131,17.4261,15.0442,12.8212
2457,6909,0.03,2.55131,20.7873,17.7193,15.2328
2457,6940,0.03,2.55131,21.0979,18.3026,15.0347
2457,6971,0.03,2.49013,18.1156,15.9075,12.3059
2457,6999,0.03,2.49013,15.401,12.7761,10.1268
2457,7030,0.03,2.49013,13.0084,10.7898,8.31618
2457,7060,0.03,2.49013,11.0373,9.22152,7.06585
2457,7091,0.03,2.49013,9.61624,7.67289,6.03481
2457,7121,0.03,2.49013,8.83993,6.81331,5.21654
2457,7152,0.03,2.49013,8.57572,6.80058,5.14312
2457,7183,0.03,2.49013,10.1562,8.24003,6.59556
2457,7213,0.03,2.49013,12.792,10.6923,9.14103
2457,7244,0.03,2.49013,17.1582,14.798,12.7255
2457,7274,0.03,2.49013,20.1548,17.9542,15.5143
2457,7305,0.03,2.49013,20.613,17.8646,15.3371
2457,7336,0.03,2.44916,18.2559,15.5985,12.6538
2457,7364,0.03,2.44916,15.5141,13.0186,10.4147
2457,7395,0.03,2.44916,12.899,10.7425,8.68791
2457,7425,0.03,2.44916,11.5663,9.20888,7.27222
2457,7456,0.03,2.44916,10.5075,8.17516,6.31239
2457,7486,0.03,2.44916,9.1028,7.14196,5.52298
2457,7517,0.03,2.44916,8.55109,6.62662,5.38219
2457,7548,0.03,2.44916,10.098,8.06673,6.71133
2457,7578,0.03,2.44916,12.666,10.9004,9.21525
2457,7609,0.03,2.44916,16.7244,14.789,12.6084
2457,7639,0.03,2.44916,20.3053,17.6898,15.1613
2457,7670,0.03,2.44916,20.5449,17.729,15.0108
2457,7701,0.03,2.45876,17.902,15.3135,12.4425
2457,7729,0.03,2.45876,15.1019,12.7826,10.2396
2457,7760,0.03,2.45876,13.1105,10.6703,8.25637
2457,7790,0.03,2.45876,11.6346,9.18119,6.96383
2457,7821,0.03,2.45876,10.1007,8.08333,5.99047
2457,7851,0.03,2.45876,8.96958,7.31327,5.46324
2457,7882,0.03,2.45876,8.84825,7.37301,5.57015
2457,7913,0.03,2.45876,10.2724,8.80926,6.99616
2457,7943,0.03,2.45876,13.5696,11.5681,9.43403
2457,7974,0.03,2.45876,17.5507,15.6242,13.0349
2457,8004,0.03,2.45876,20.4284,18.0895,15.5894
2457,8035,0.03,2.45876,20.7342,18.2618,15.2762
2457,8066,0.03,2.47028,18.009,15.3003,12.5551
2456,3987,0.04,3.64109,26.4548,23.4605,20.0549
2456,4018,0.04,3.64109,26.6583,22.8525,19.0374
2456,4049,0.04,3.81776,22.9065,18.4748,15.0728
2456,4077,0.04,3.81776,19.2843,15.361,12.2175
2456,4108,0.04,3.81776,16.5614,12.9189,9.96658
2456,4138,0.04,3.81776,14.4576,10.9723,8.37634
2456,4169,0.04,3.81776,12.8585,9.91901,7.23588
2456,4199,0.04,3.81776,11.4089,8.61664,6.53598
2456,4230,0.04,3.81776,11.5399,8.64913,6.73145
2456,4261,0.04,3.81776,14.1429,11.1976,8.75092
2456,4291,0.04,3.81776,18.2121,14.8067,12.3482
2456,4322,0.04,3.81776,22.9222,19.3002,16.7227
2456,4352,0.04,3.81776,26.6132,23.0178,19.7036
2456,4383,0.04,3.81776,26.3906,22.335,18.9902
2456,4414,0.04,3.71452,23.1259,19.0721,15.336
2456,4442,0.04,3.71452,20.0362,15.7667,12.5921
2456,4473,0.04,3.71452,16.8298,13.5237,10.3364
2456,4503,0.04,3.71452,14.9569,11.677,8.73597
2456,4534,0.04,3.71452,13.0755,10.0198,7.427
2456,4564,0.04,3.71452,11.9252,9.13248,6.71897
2456,4595,0.04,3.71452,11.7764,9.10641,6.82026
2456,4626,0.04,3.71452,13.8106,11.2891,8.88251
2456,4656,0.04,3.71452,17.9369,15.017,12.3331
2456,4687,0.04,3.71452,23.3362,19.9277,16.7217
2456,4717,0.04,3.71452,26.4961,22.3592,19.5037
2456,4748,0.04,3.71452,26.427,22.0884,18.6991
2456,4779,0.04,3.73909,22.9352,18.8588,14.9198
2456,4807,0.04,3.73909,19.2511,15.7261,11.9584
2456,4838,0.04,3.73909,16.1363,12.6069,9.76002
2456,4868,0.04,3.73909,14.1682,10.3811,8.17186
2456,4899,0.04,3.73909,12.5272,9.63356,7.14138
2456,4929,0.04,3.73909,11.6385,8.86455,6.51982
2456,4960,0.04,3.73909,11.4749,8.69802,6.6516
2456,4991,0.04,3.73909,13.6052,11.0138,8.58641
2456,5021,0.04,3.73909,18.531,14.8678,12.2435
2456,5052,0.04,3.73909,23.6781,19.9295,16.8527
2456,5082,0.04,3.73909,27.7205,23.6235,19.9724
2456,5113,0.04,3.73909,27.8513,23.2956,19.4751
2456,5144,0.04,3.67888,23.8771,19.7012,15.8337
2456,5173,0.04,3.67888,20.0621,16.0165,12.4919
2456,5204,0.04,3.67888,17.1893,13.7119,10.1875
2456,5234,0.04,3.67888,14.5204,11.6425,8.58795
2456,5265,0.04,3.67888,12.8811,9.73559,7.21277
2456,5295,0.04,3.67888,11.7018,8.75092,6.45698
2456,5326,0.04,3.67888,11.669,8.62289,6.62688
2456,5357,0.04,3.67888,13.7009,10.9065,8.66002
